"{GraphName : SchwarzschildFlamm, GraphConstruction : radiusThresholdOriginal, RadialBin : 11., RadiusMean : 10.801408993550961, NReferenceVertices : 20., CLog_Mean : 1.6468784933574678, CLog_SD : 0.22401847075983136, MeanShellSize_Mean : 62.65, MeanShellSize_SD : 8.934115571931649, StdShellSize_Mean : 0., StdShellSize_SD : 0., MeanLogShellSize_Mean : 4.143785849821646, MeanLogShellSize_SD : 0.1433793049840661, StdLogShellSize_Mean : 0., StdLogShellSize_SD : 0., MeanLogMultiplicityByShell_Mean : 3.226023581867808, MeanLogMultiplicityByShell_SD : 0.49210731646326555, StdLogMultiplicityByShell_Mean : 1.4762196040208009, StdLogMultiplicityByShell_SD : 0.21502956105171386, Degree_Mean : 13.9, Degree_SD : 3.7542957851114056, ClusteringCoefficient_Mean : 0.6042255048872694, ClusteringCoefficient_SD : 0.07931053159326001}"
"{GraphName : SchwarzschildFlamm, GraphConstruction : radiusThresholdOriginal, RadialBin : 7., RadiusMean : 7.48126482755278, NReferenceVertices : 20., CLog_Mean : 1.9032477974106186, CLog_SD : 0.20828210260881788, MeanShellSize_Mean : 103.5, MeanShellSize_SD : 9., StdShellSize_Mean : 0., StdShellSize_SD : 0., MeanLogShellSize_Mean : 4.645717962308341, MeanLogShellSize_SD : 0.08521672329809153, StdLogShellSize_Mean : 0., StdLogShellSize_SD : 0., MeanLogMultiplicityByShell_Mean : 3.72878550207171, MeanLogMultiplicityByShell_SD : 0.2911241956236043, StdLogMultiplicityByShell_Mean : 1.6926809706853134, StdLogMultiplicityByShell_SD : 0.1948046449756467, Degree_Mean : 18.25, Degree_SD : 4.575391844019022, ClusteringCoefficient_Mean : 0.5953441741300133, ClusteringCoefficient_SD : 0.10224488382736112}"
"{GraphName : SchwarzschildFlamm, GraphConstruction : radiusThresholdOriginal, RadialBin : 2., RadiusMean : 3.427538710837974, NReferenceVertices : 20., CLog_Mean : 2.086689136028093, CLog_SD : 0.16030801531017916, MeanShellSize_Mean : 132.25, MeanShellSize_SD : 7.4753982467403315, StdShellSize_Mean : 0., StdShellSize_SD : 0., MeanLogShellSize_Mean : 4.890731364426374, MeanLogShellSize_SD : 0.05612924868943681, StdLogShellSize_Mean : 0., StdLogShellSize_SD : 0., MeanLogMultiplicityByShell_Mean : 4.0007195700883695, MeanLogMultiplicityByShell_SD : 0.28839449135891465, StdLogMultiplicityByShell_Mean : 1.8717721722081788, StdLogMultiplicityByShell_SD : 0.1546176738315647, Degree_Mean : 31.7, Degree_SD : 4.193980649002869, ClusteringCoefficient_Mean : 0.6052818126416619, ClusteringCoefficient_SD : 0.05332311383518759}"
"{GraphName : SchwarzschildFlamm, GraphConstruction : radiusThresholdOriginal, RadialBin : 5., RadiusMean : 5.8112576506077795, NReferenceVertices : 20., CLog_Mean : 2.02094265956367, CLog_SD : 0.08402892649810081, MeanShellSize_Mean : 115.25, MeanShellSize_SD : 14.04457190518814, StdShellSize_Mean : 0., StdShellSize_SD : 0., MeanLogShellSize_Mean : 4.748603865870639, MeanLogShellSize_SD : 0.12361648715896434, StdLogShellSize_Mean : 0., StdLogShellSize_SD : 0., MeanLogMultiplicityByShell_Mean : 3.927411922872763, MeanLogMultiplicityByShell_SD : 0.3398101177849162, StdLogMultiplicityByShell_Mean : 1.8113742215525328, StdLogMultiplicityByShell_SD : 0.08652026931045784, Degree_Mean : 23.95, Degree_SD : 4.006245124802026, ClusteringCoefficient_Mean : 0.5909136438727767, ClusteringCoefficient_SD : 0.06786558179903326}"
"{GraphName : SchwarzschildFlamm, GraphConstruction : radiusThresholdOriginal, RadialBin : 1., RadiusMean : 2.5784246837913063, NReferenceVertices : 20., CLog_Mean : 2.0316167280460258, CLog_SD : 0.12720306390744765, MeanShellSize_Mean : 135.2, MeanShellSize_SD : 11.418360099787582, StdShellSize_Mean : 0., StdShellSize_SD : 0., MeanLogShellSize_Mean : 4.91074844709324, MeanLogShellSize_SD : 0.0845549865158415, StdLogShellSize_Mean : 0., StdLogShellSize_SD : 0., MeanLogMultiplicityByShell_Mean : 3.9790003147245208, MeanLogMultiplicityByShell_SD : 0.3113994854483038, StdLogMultiplicityByShell_Mean : 1.8230940234990367, StdLogMultiplicityByShell_SD : 0.12510953954373472, Degree_Mean : 27.05, Degree_SD : 6.668661982105477, ClusteringCoefficient_Mean : 0.645520309545254, ClusteringCoefficient_SD : 0.08956820992581759}"
"{GraphName : SchwarzschildFlamm, GraphConstruction : radiusThresholdOriginal, RadialBin : 12., RadiusMean : 11.459356400005953, NReferenceVertices : 20., CLog_Mean : 1.6844965568480514, CLog_SD : 0.27049934941475096, MeanShellSize_Mean : 50.35, MeanShellSize_SD : 9.740177238201518, StdShellSize_Mean : 0., StdShellSize_SD : 0., MeanLogShellSize_Mean : 3.9202238907240328, MeanLogShellSize_SD : 0.20176372829412473, StdLogShellSize_Mean : 0., StdLogShellSize_SD : 0., MeanLogMultiplicityByShell_Mean : 3.1337575589046507, MeanLogMultiplicityByShell_SD : 0.5702253003377962, StdLogMultiplicityByShell_Mean : 1.5274847549976338, StdLogMultiplicityByShell_SD : 0.27411055463008505, Degree_Mean : 11.35, Degree_SD : 3.52845575287547, ClusteringCoefficient_Mean : 0.692677738927739, ClusteringCoefficient_SD : 0.1851825604086062}"
"{GraphName : SchwarzschildFlamm, GraphConstruction : radiusThresholdOriginal, RadialBin : 6., RadiusMean : 6.6157351677509535, NReferenceVertices : 20., CLog_Mean : 1.9150477914826045, CLog_SD : 0.1409724478549147, MeanShellSize_Mean : 116.6, MeanShellSize_SD : 9.005261619858985, StdShellSize_Mean : 0., StdShellSize_SD : 0., MeanLogShellSize_Mean : 4.76442871942697, MeanLogShellSize_SD : 0.07814190015379105, StdLogShellSize_Mean : 0., StdLogShellSize_SD : 0., MeanLogMultiplicityByShell_Mean : 3.809170301422962, MeanLogMultiplicityByShell_SD : 0.32129633378132993, StdLogMultiplicityByShell_Mean : 1.6979064601061569, StdLogMultiplicityByShell_SD : 0.15107085056019598, Degree_Mean : 20.6, Degree_SD : 3.7612987678530185, ClusteringCoefficient_Mean : 0.6301125351095064, ClusteringCoefficient_SD : 0.10703824911191297}"
"{GraphName : SchwarzschildFlamm, GraphConstruction : radiusThresholdOriginal, RadialBin : 3., RadiusMean : 4.176606999894091, NReferenceVertices : 20., CLog_Mean : 2.119424090141945, CLog_SD : 0.14934354022700932, MeanShellSize_Mean : 130.35, MeanShellSize_SD : 13.557965225380672, StdShellSize_Mean : 0., StdShellSize_SD : 0., MeanLogShellSize_Mean : 4.872851215470525, MeanLogShellSize_SD : 0.10254062601515199, StdLogShellSize_Mean : 0., StdLogShellSize_SD : 0., MeanLogMultiplicityByShell_Mean : 3.90039147940335, MeanLogMultiplicityByShell_SD : 0.2652179914834586, StdLogMultiplicityByShell_Mean : 1.8992608774946877, StdLogMultiplicityByShell_SD : 0.1407601947665545, Degree_Mean : 27.75, Degree_SD : 3.0928610498508027, ClusteringCoefficient_Mean : 0.6240440130662372, ClusteringCoefficient_SD : 0.07570193894747523}"
"{GraphName : SchwarzschildFlamm, GraphConstruction : radiusThresholdOriginal, RadialBin : 10., RadiusMean : 9.865684113612534, NReferenceVertices : 20., CLog_Mean : 1.7300313418808941, CLog_SD : 0.141612972445034, MeanShellSize_Mean : 69.5, MeanShellSize_SD : 7.660562024180457, StdShellSize_Mean : 0., StdShellSize_SD : 0., MeanLogShellSize_Mean : 4.250092966930202, MeanLogShellSize_SD : 0.10741759422108116, StdLogShellSize_Mean : 0., StdLogShellSize_SD : 0., MeanLogMultiplicityByShell_Mean : 3.385955719302916, MeanLogMultiplicityByShell_SD : 0.5508724731021618, StdLogMultiplicityByShell_Mean : 1.5507759769277512, StdLogMultiplicityByShell_SD : 0.14841444654046151, Degree_Mean : 18.25, Degree_SD : 2.653200649067184, ClusteringCoefficient_Mean : 0.5818182239157471, ClusteringCoefficient_SD : 0.07574597262401406}"
"{GraphName : SchwarzschildFlamm, GraphConstruction : radiusThresholdOriginal, RadialBin : 8., RadiusMean : 8.365630325841684, NReferenceVertices : 20., CLog_Mean : 1.8111367306328927, CLog_SD : 0.2025179346151074, MeanShellSize_Mean : 92.75, MeanShellSize_SD : 12.535738384399432, StdShellSize_Mean : 0., StdShellSize_SD : 0., MeanLogShellSize_Mean : 4.532149759789808, MeanLogShellSize_SD : 0.13363264054929888, StdLogShellSize_Mean : 0., StdLogShellSize_SD : 0., MeanLogMultiplicityByShell_Mean : 3.5700873817346035, MeanLogMultiplicityByShell_SD : 0.5223820686478644, StdLogMultiplicityByShell_Mean : 1.6365719095270719, StdLogMultiplicityByShell_SD : 0.18815727960720516, Degree_Mean : 17.6, Degree_SD : 3.9920974568844327, ClusteringCoefficient_Mean : 0.6462769634351992, ClusteringCoefficient_SD : 0.06443418978442299}"
"{GraphName : SchwarzschildFlamm, GraphConstruction : radiusThresholdOriginal, RadialBin : 4., RadiusMean : 5.028494131159206, NReferenceVertices : 20., CLog_Mean : 2.0715425776587613, CLog_SD : 0.11777267612812109, MeanShellSize_Mean : 122.45, MeanShellSize_SD : 9.762845788740947, StdShellSize_Mean : 0., StdShellSize_SD : 0., MeanLogShellSize_Mean : 4.813062636408826, MeanLogShellSize_SD : 0.07517013849201933, StdLogShellSize_Mean : 0., StdLogShellSize_SD : 0., MeanLogMultiplicityByShell_Mean : 3.9472422442815613, MeanLogMultiplicityByShell_SD : 0.31741623202897806, StdLogMultiplicityByShell_Mean : 1.8569841448649835, StdLogMultiplicityByShell_SD : 0.12340139350625887, Degree_Mean : 25.3, Degree_SD : 3.657724342869628, ClusteringCoefficient_Mean : 0.5842051856817403, ClusteringCoefficient_SD : 0.059628177593479055}"
